segmentId,newSegmentId,frc,streetName,speedLimit,distance,averageSpeed,date,time,timeSet,dateRange,harmonicAverageSpeed,medianSpeed,standardDeviationSpeed,shape,travelTimeStandardDeviation,sampleSize,averageTravelTime,medianTravelTime,travelTimeRatio,speedPercentiles,hour,POI
-1.46E+13,-00004d59-3500-0400-0000-000001855160,5,Jalan Kuning,30,10.09,23.5,2024/8/11,14,2,1,14.2,22.9,11.7,"[{'latitude': 1.48209, 'longitude': 103.77531}, {'latitude': 1.48203, 'longitude': 103.77531}, {'latitude': 1.482, 'longitude': 103.7753}]",5.09,3150,2.55,1.59,1,"[6, 9, 11, 13, 14, 17, 18, 20, 21, 23, 25, 26, 28, 30, 32, 33, 36, 38, 43]",14,24
-1.46E+13,-00004d59-3500-0400-0000-000001855168,5,Jalan Kuning,50,30.07,28.3,2024/8/11,16,2,1,20.3,28.4,11,"[{'latitude': 1.48267, 'longitude': 103.77535}, {'latitude': 1.4824, 'longitude': 103.77533}]",8.7,2768,5.33,3.81,1,"[9, 14, 17, 20, 22, 23, 25, 26, 27, 28, 30, 31, 32, 34, 35, 37, 39, 41, 46]",16,24
-1.46E+13,-00004d59-3500-0400-0000-00000185516b,5,Jalan Kuning,50,20.67,26.3,2024/8/11,10,2,1,17.2,25.8,11.9,"[{'latitude': 1.48285, 'longitude': 103.77536}, {'latitude': 1.48267, 'longitude': 103.77535}]",9.66,3486,4.32,2.88,1,"[8, 12, 14, 16, 18, 20, 21, 23, 24, 26, 27, 29, 30, 32, 34, 36, 38, 41, 46]",10,24
-1.46E+13,-00004d59-3500-0400-0000-000001855171,5,Jalan Kuning,50,27.58,31.2,2024/8/11,15,2,1,22.2,33,12.3,"[{'latitude': 1.48415, 'longitude': 103.77526}, {'latitude': 1.4839, 'longitude': 103.77528}]",6.18,2976,4.48,3.01,1,"[9, 13, 17, 20, 23, 25, 28, 30, 32, 33, 34, 36, 37, 38, 40, 41, 43, 45, 49]",15,26
-1.46E+13,-00004d59-3500-0400-0000-000001855931,5,Jalan Kuning,50,53.87,21.3,2024/8/11,17,2,1,11.6,22,11.2,"[{'latitude': 1.47987, 'longitude': 103.77507}, {'latitude': 1.47983, 'longitude': 103.77503}, {'latitude': 1.4797, 'longitude': 103.77489}, {'latitude': 1.47963, 'longitude': 103.7748}, {'latitude': 1.47955, 'longitude': 103.77471}]",20.68,2170,16.68,8.82,1,"[3, 5, 7, 10, 12, 14, 16, 19, 20, 22, 24, 26, 27, 29, 30, 32, 33, 35, 38]",17,23
-1.46E+13,-00004d59-3500-0400-0000-000001855937,5,Jalan Kuning,50,56.57,19.8,2024/8/11,18,2,1,7.6,18.4,14.7,"[{'latitude': 1.47889, 'longitude': 103.77388}, {'latitude': 1.47899, 'longitude': 103.774}, {'latitude': 1.47907, 'longitude': 103.7741}, {'latitude': 1.47921, 'longitude': 103.77428}]",29.23,4988,26.67,11.07,1,"[2, 3, 3, 4, 5, 7, 9, 12, 15, 18, 21, 24, 27, 30, 32, 34, 37, 40, 45]",18,22
-1.46E+13,-00004d59-3500-0400-0000-00000185594f,4,Jalan Dato Abdullah Tahir,50,83.39,30.8,2024/8/9,9:00:00,2,1,22.5,31.3,11.8,"[{'latitude': 1.47852, 'longitude': 103.76141}, {'latitude': 1.4786, 'longitude': 103.76119}, {'latitude': 1.47864, 'longitude': 103.76103}, {'latitude': 1.47867, 'longitude': 103.76095}, {'latitude': 1.47871, 'longitude': 103.76084}, {'latitude': 1.47875, 'longitude': 103.7607}]",17.22,6012,13.33,9.59,1,"[10, 15, 19, 21, 24, 26, 28, 29, 30, 31, 32, 34, 35, 36, 38, 40, 42, 45, 50]",9,40
-1.46E+13,-00004d59-3500-0400-0000-000001855954,4,Jalan Dato Abdullah Tahir,50,41.22,33.8,2024/8/9,10:00:00,2,1,22.4,35.2,13,"[{'latitude': 1.47925, 'longitude': 103.75925}, {'latitude': 1.47936, 'longitude': 103.7589}]",14.71,5441,6.63,4.22,1,"[10, 15, 19, 23, 26, 28, 30, 32, 34, 35, 37, 39, 40, 42, 43, 45, 47, 49, 53]",10,40
-1.46E+13,-00004d59-3500-0400-0000-000001855959,4,Jalan Dato Abdullah Tahir,50,59.24,23.3,2024/8/10,11:00:00,2,1,13.7,23.7,12.2,"[{'latitude': 1.47973, 'longitude': 103.75776}, {'latitude': 1.47981, 'longitude': 103.75756}, {'latitude': 1.47991, 'longitude': 103.75726}]",20.86,4873,15.55,9,1,"[5, 6, 9, 11, 13, 16, 18, 20, 22, 24, 25, 27, 29, 30, 32, 34, 36, 39, 43]",11,38
-1.46E+13,-00004d59-3500-0400-0000-000001855f67,5,Jalan Kuning,30,68.71,22.1,2024/8/11,19,2,1,19.4,21.9,6.5,"[{'latitude': 1.48148, 'longitude': 103.77529}, {'latitude': 1.48131, 'longitude': 103.77528}, {'latitude': 1.48092, 'longitude': 103.77526}, {'latitude': 1.48086, 'longitude': 103.77525}]",8.04,2573,12.76,11.29,1,"[12, 15, 17, 18, 19, 20, 20, 21, 21, 22, 23, 23, 24, 25, 25, 26, 28, 29, 32]",19,23
-1.46E+13,-00004d59-3500-0400-0000-000001855f6b,5,Jalan Kuning,30,25.4,25.4,2024/8/10,19,2,1,17.7,24.8,11.2,"[{'latitude': 1.48232, 'longitude': 103.77533}, {'latitude': 1.48224, 'longitude': 103.77532}, {'latitude': 1.48209, 'longitude': 103.77531}]",6.14,2850,5.18,3.69,1,"[7, 11, 14, 16, 18, 20, 21, 22, 24, 25, 26, 28, 29, 31, 33, 35, 37, 40, 44]",19,24
-1.46E+13,-00004d59-3500-0400-0000-000001855f6c,5,Jalan Kuning,50,8.87,27,2024/8/10,18,2,1,19.5,27.2,11.3,"[{'latitude': 1.4824, 'longitude': 103.77533}, {'latitude': 1.48232, 'longitude': 103.77533}]",1.94,2986,1.64,1.17,1,"[9, 12, 15, 17, 19, 21, 23, 24, 26, 27, 29, 30, 31, 33, 35, 37, 38, 41, 45]",18,24
-1.46E+13,-00004d59-3500-0400-0000-000001856033,3,Jalan Lingkaran Dalam,50,10.18,78.1,2024/8/11,8,2,1,75,78.5,14.1,"[{'latitude': 1.46941, 'longitude': 103.75086}, {'latitude': 1.46936, 'longitude': 103.75078}]",0.16,24894,0.49,0.47,1,"[56, 60, 63, 66, 68, 71, 73, 75, 77, 79, 80, 82, 84, 86, 88, 90, 92, 95, 100]",8,32
